,X,Y
0,9.3444496846,-10.6942763383
1,16.6343267958,-0.812740349215
2,-10.9291680199,9.96545003714
3,-8.06765893847,16.2769861346
4,-9.09571513075,6.65710659578
5,-7.56223665057,9.69964804507
6,-10.1692489049,11.2198053912
7,12.5741212434,-5.87140351892
8,12.9551280485,-6.19312771546
9,8.21000593423,-7.32369095943
10,12.7134824622,-6.79683784261
11,4.98568341115,-11.0515213326
12,-8.64934359755,11.3367271189
13,13.5484849188,-11.4148900867
14,-7.01154623063,13.4503518922
15,6.44907428482,-15.2926190981
16,-10.2133428381,11.0200821258
17,-10.7232238263,6.08790131846
18,-13.7976987021,10.2908682462
19,-11.8947526838,7.7228258019
20,-11.2821209018,12.736826583
21,-13.2131455116,10.4653356743
22,10.4904291575,-7.47000500438
23,8.10431990389,-10.9509025644
24,13.8720120575,-3.56028394886
25,-8.21173536173,17.0303519851
26,3.49032604578,-12.13656212
27,10.2471132487,-11.3006032806
28,-13.6653404537,6.48635058116
29,10.0589168607,-10.5682490923
30,12.6618610388,-4.31684589144
31,4.74288339088,-13.9616287081
32,-6.02715570474,13.6715051959
33,5.9076729473,-12.479120882
34,-9.43189040323,11.614973825
35,-11.9156677626,9.43816568637
36,13.095961705,-9.04426483023
37,-15.9929713148,1.4942222685
38,8.90823605739,-11.6088837741
39,10.0854861578,-7.98023394349
40,11.1787716146,-8.87211189889
41,-10.8631199224,11.3725306398
42,-10.5868701469,3.10344352702
43,11.05032908,-9.21594749344
44,-10.8363740946,8.06366360628
45,5.72204789928,-13.1735007613
46,-2.41110434367,14.4265822518
47,-13.7246985084,14.3701607835
48,7.90089488647,-13.0912005378
49,-7.96515963363,11.3357801451
50,-11.1504371968,7.76500734433
51,-8.59837015797,8.75834367641
52,9.95522460917,-12.4962600378
53,8.47861552573,-11.8439046028
54,-10.597465784,9.19337017817
55,-7.83283817279,9.29479534258
56,10.8660702379,-14.7187837642
57,-13.0722402014,10.1763820441
58,-8.86311746892,13.4078316871
59,12.370268464,-11.5690301322
60,-15.8256397368,3.55899069676
61,8.53212547609,-11.6373383244
